crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Overy,Private,"Advice, Compliance, Consulting, Risk Management, Training",11-50,"Agrate Brianza, Lombardia, Italy","2,512,170",4.0,,,,,,,,,,,,,,,2021-01-01,Active,$1M to $10M,20864,OVER S.P.A.,Campobasso,86039.0,Molise,VIALE S. PERTINI 1,Campobasso,86039.0,MOLISE,702209.0,09/05/2019,,Attiva,S.P.A.
Sibill,Private,"Asset Management, Financial Services, FinTech",11-50,"Milano, Lombardia, Italy","17,833",4.0,,,7.0,2.0,"Plug and Play, Exor Ventures, Keen Venture Partners, Banana Capital, Founders",7342195.0,Seed,6762498.0,6762498.0,Seed,3.0,"Dario Prencipe, Lorenzo Liguor, Mattia Montepara",3.0,,2021-01-01,Active,,,SIBILL S.R.L.,Salerno,84043.0,Campania,VIA MATTINE 5,Salerno,84043.0,CAMPANIA,620100.0,19/07/2021,,Attiva,S.R.L.
Dinamico,Private,"Automotive, Industrial Engineering, Industrial Manufacturing, Manufacturing",,"Monza, Lombardia, Italy","2,349,833",15.0,,,,,,,,,,,,,,,2020-06-10,Active,Less than $1M,20900,DINAMICO PLUS S.R.L.,Vicenza,36100.0,Veneto,VIA ENRICO FERMI 225,Vicenza,36100.0,VENETO,620100.0,26/02/2020,,Attiva,S.R.L.
VIBMEC,Private,"Consulting, Test and Measurement",1-10,"Casalgrande, Emilia-Romagna, Italy","3,580,804",13.0,,,,,,,,,,,,,,,2020-01-01,Active,,42013,VIBMEC SRL,Modena,41049.0,Emilia-Romagna,VIALE SAN GEMINIANO 6,Modena,41049.0,EMILIA-ROMAGNA,721909.0,21/10/2020,,Attiva,S.R.L.
TrueScreen,Private,"Cyber Security, Information Technology, InsurTech, Legal Tech",11-50,"Bologna, Emilia-Romagna, Italy","35,656",3.0,,,10.0,1.0,"Growth Engine, Cysero, Sme.UP Group, Fin+Tech, Alessandro Petazzi",2894881.0,Seed,2671116.0,2671116.0,Seed,3.0,"Fabio Ugolini, Giuseppe Travasoni",2.0,,2021-01-01,Active,,40121,TRUESCREEN S.R.L.,Bologna,40121.0,Emilia-Romagna,,,,,620200.0,01/02/2021,,Attiva,S.R.L.
RENrisk,Private,"Embedded Software, Embedded Systems, Risk Management, Software",11-50,"Genoa, Liguria, Italy","2,627,025",9.0,,,,,,,,,,,,,,,2022-01-01,Active,,16121,RENRISK S.R.L.,Genova,16128.0,Liguria,,,,,620100.0,17/02/2022,,Attiva,S.R.L.
LUXURY DISTRIBUTION,Private,"E-Commerce, Fashion, Online Portals, Retail Technology, SaaS, Wholesale",1-10,"Como, Lombardia, Italy","125,502",7.0,,,,,,100000.0,Angel,100000.0,100000.0,Seed,1.0,Ala Taha,1.0,,2022-07-01,Active,,22100,LUXURY DISTRIBUTION S.R.L.,Como,22100.0,Lombardia,,,,,479110.0,04/07/2022,,Attiva,S.R.L.
HUI,Private,"Blockchain, Enterprise Resource Planning (ERP), Information Technology, SaaS, Software",1-10,"Pescara, Abruzzi, Italy","33,903",22.0,,,3.0,2.0,"Enry's Island SpA, Invitalia, Nimbus Capital",27664032.0,Series A,27185230.0,27185230.0,Early Stage Venture,3.0,,,,2020-01-01,Active,$1M to $10M,65122,HUI S.P.A.,Pescara,65122.0,Abruzzo,,,,,620100.0,22/01/2020,,Attiva,S.P.A.
Audioboost,Private,"Advertising, Audio, Marketing, Publishing",1-10,"Maglie, Puglia, Italy","354,011",10.0,,,1.0,1.0,Truvid,,Corporate Round,,,,1.0,"Cristina Pianura, Davide Schioppa, Enrico Ballerini, Marco Palermo",4.0,,2021-01-01,Active,Less than $1M,73024,AUDIOBOOST S.R.L.,Lecce,73024.0,Puglia,VIA SCORRANO 57,Lecce,73024.0,PUGLIA,582900.0,14/07/2021,,Attiva,S.R.L.
U Project,Private,"Health Care, Medical Device, mHealth",1-10,"Sondrio, Lombardia, Italy","2,461,902",5.0,,,,,,,,,,,,,,,2021-01-01,Active,,23100,HUB PROJECT ITALIA S.R.L.,Milano,20037.0,Lombardia,VIA GIUSEPPE MAZZINI 22,Milano,20037.0,LOMBARDIA,711220.0,08/02/2022,,Attiva,S.R.L.
MODUSLAB,Private,"Analytics, Business Development, Management Consulting",1-10,"Rome, Lazio, Italy","3,010,938",14.0,,,,,,,,,,,,,,,2021-01-01,Active,,142,MODULA S.R.L.,Roma,153.0,Lazio,,,,,620100.0,18/03/2021,,Attiva,S.R.L.
Arca Consulting,Private,"Application Performance Management, Business Intelligence, RFID, Software",11-50,"Verona, Veneto, Italy","1,853,326",4.0,,,,,,,,,,,,,,,2018-11-28,Active,Less than $1M,,AMBRA CONSULTING S.R.L.,Roma,174.0,Lazio,,,,,702209.0,10/07/2023,,Attiva,S.R.L.
Micro Bio Technology,Private,"Biotechnology, GreenTech, Life Science",1-10,"Parma, Emilia-Romagna, Italy","2,430,234",11.0,,,,,,,,,,,,,,,2018-01-01,Active,,43123,MICRO BIO TECHNOLOGY S.R.L.,Parma,43123.0,Emilia-Romagna,VIA ANNA FRANK 7,Parma,43123.0,EMILIA-ROMAGNA,721100.0,20/05/2020,,Attiva,S.R.L.
Acquisition Team,Private,"Digital Marketing, Non Profit, Social Media",1-10,"Rome, Lazio, Italy","3,586,668",10.0,,,,,,,,,,,,Salvatore Barbera,1.0,,2019-01-01,Active,,153,ACQUISITION TEAM S.R.L. SOCIETA' BENEFIT,Roma,153.0,Lazio,,,,,620100.0,28/01/2019,,Attiva,S.R.L.
Tutornow,Private,"E-Learning, EdTech, Education, Internet, Tutoring",1-10,"Lomazzo, Lombardia, Italy","100,979",8.0,,,1.0,1.0,Techstars,120000.0,Pre-Seed,120000.0,120000.0,Seed,1.0,,,,2021-01-12,Active,Less than $1M,,TUTORNOW S.R.L.,Como,22074.0,Lombardia,,,,,620100.0,12/01/2021,,Attiva,S.R.L.
IDROVA,Private,"Agriculture, Environmental Engineering, Farming, Industrial, Water",1-10,"Rome, Lazio, Italy","2,752,622",6.0,,,,,,,,,,,,,,,2021-01-01,Active,Less than $1M,142,IDROAM SRL,Roma,153.0,Lazio,,,,,711210.0,25/11/2022,,Attiva,S.R.L.
FOM,Private,"Brand Marketing, Consulting, Innovation Management, Logistics, Product Design, Project Management",11-50,"Milan, Lombardia, Italy","1,717,356",,,,,,,,,,,,,Kun Geng,1.0,,2021-02-19,Active,,20125,FOMS - S.R.L.,Salerno,84131.0,Campania,,,,,855920.0,28/06/2022,,Attiva,S.R.L.
Algo,Private,"Cloud Data Services, Graphic Design, Software, Video, Video Editing",1-10,"Torino, Piemonte, Italy","542,783",21.0,,,,,,,,,,,,,,,2021-01-01,Active,,,ALGOON S.R.L.,Venezia,30033.0,Veneto,,,,,721909.0,20/12/2022,,Attiva,S.R.L.
AP Testing,Private,"Advice, Chemical Engineering, Industrial",1-10,"Ascoli Piceno, Marche, Italy","1,492,535",11.0,,,,,,,,,,,,,,,2019-01-01,Active,Less than $1M,63100,AP TESTING SRL,Ascoli Piceno,63100.0,Marche,VIA DELLE CONVERTITE 18,Ascoli Piceno,63100.0,MARCHE,712021.0,27/12/2018,,Attiva,S.R.L.
The Code,Private,"CRM, Digital Marketing, Marketing, Mobile Apps, Web Development",1-10,"Naples, Campania, Italy","2,731,228",9.0,,,,,,,,,,,,,,,2021-11-01,Active,,80125,THE CODE SRL,Napoli,80143.0,Campania,,,,,702100.0,13/10/2021,,Attiva,S.R.L.
Badacare,Private,"Assisted Living, Elder Care, Elderly, Nursing and Residential Care",1-10,"Nichelino, Piemonte, Italy","2,334,556",5.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,10042,BADACARE S.R.L.,Torino,10042.0,Piemonte,VIA BRA 16,Torino,10042.0,PIEMONTE,722000.0,24/01/2019,,Attiva,S.R.L.
Starcks,Private,"Mobile Apps, Sports, Ticketing",11-50,"Rome, Lazio, Italy","949,965",8.0,,,,,,,,,,,,,,,2022-01-01,Active,,185,STARCKS S.R.L.,Roma,185.0,Lazio,,,,,620100.0,09/02/2022,,Attiva,S.R.L.
Cyclopes,Private,"Consulting, Digital Marketing, Graphic Design, Virtual Reality",1-10,"Rome, Lazio, Italy","3,526,759",10.0,,,,,,,,,,,,Augusto Ozzella,1.0,,2020-01-01,Active,Less than $1M,193,CYCLOPES S.R.L.,Avellino,83040.0,Campania,,,,,620100.0,07/07/2020,,Attiva,S.R.L.
Digital Wines,Private,"E-Commerce, Food and Beverage, Marketing, Wine And Spirits, Winery",11-50,"Rome, Lazio, Italy","2,733,535",21.0,,,,,,,,,,,,,,,2018-01-01,Active,,,DIGITAL WIRE SRL,Verona,37059.0,Veneto,,,,,620100.0,14/02/2022,,Attiva,S.R.L.
Mibtech,Private,"Human Computer Interaction, Market Research, Virtualization",51-100,"Milan, Lombardia, Italy","1,607,611",1.0,,,,,,,,,,,,,,,2018-01-01,Active,,20126,NITECH S.R.L.,Napoli,80125.0,Campania,,,,,620100.0,20/03/2019,,Attiva,S.R.L.
Totem Automobili,Private,"Automotive, Electric Vehicle, Manufacturing",51-100,"Marcon, Veneto, Italy","1,182,520",11.0,,,,,,,,,,,,Riccardo Quaggio,1.0,,2018-01-01,Active,Less than $1M,30020,TS AUTOMOBILI S.R.L.,Modena,41122.0,Emilia-Romagna,,,,,711210.0,10/09/2021,,Attiva,S.R.L.
Ad Hoc Atelier,Private,E-Commerce,1-10,"Milano, Lombardia, Italy","1,124,767",1.0,Acquisition,,,,,,,,,M&A,,,,2024-02-29,2021-03-05,Active,,20123,AD HOC ATELIER SRL,Milano,20123.0,Lombardia,,,,,631200.0,05/03/2021,,Attiva,S.R.L.
ExoLab Italia,Private,"Biotechnology, Health Care, Medical, Pharmaceutical",1-10,"L'aquila, Abruzzi, Italy","18,886",19.0,,,4.0,,"CDP Venture Capital, Riello Investimenti Partners, DSM-Firmenich Venturing, Maia Ventures",5799437.0,Series A,5233279.0,5233279.0,Early Stage Venture,2.0,,,,2020-07-01,Active,,67100,EXO LAB ITALIA S.R.L.,Pescara,65127.0,Abruzzo,,,,,721100.0,10/07/2020,,Attiva,S.R.L.
DVB-TECH,Private,"Manufacturing, Medical Device, Product Design",11-50,"Milan, Lombardia, Italy","749,137",10.0,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,20029,B4TECH S.R.L.,Milano,20138.0,Lombardia,,,,,620100.0,27/02/2020,,Attiva,S.R.L.
Leone Investment,Private,"Crowdfunding, Financial Services, Real Estate Investment",11-50,"Roma, Lazio, Italy","392,755",,,,,,,,,,,,,Armando Perrone,1.0,,2022-06-01,Active,$1M to $10M,144,LEONE INVESTMENT S.R.L.,Roma,144.0,Lazio,,,,,829999.0,20/09/2021,,Attiva,S.R.L.
Compound,Private,"Chemical Engineering, Food and Beverage, Food Processing, Industrial Manufacturing, IT Infrastructure",,"Termoli, Molise, Italy","774,277",10.0,,,,,,,,,,,,,,,2018-01-01,Active,Less than $1M,86039,COMPOUND S.R.L.,Campobasso,86039.0,Molise,VIA MARISA BELLISARIO SNC,Campobasso,86039.0,MOLISE,463890.0,18/10/2018,,Attiva,S.R.L.
Cargoful,Private,"Fleet Management, Freight Service, Logistics, SaaS, Software, Transportation",11-50,"Milan, Lombardia, Italy","78,031",10.0,,,1.0,,B4i - Bocconi for innovation,294144.0,Pre-Seed,294144.0,294144.0,Seed,1.0,"Alessandro Salvetti, Cosmo Valentino, Erica Pezzica, Filippo Tamburini",4.0,,2020-01-01,Active,$1M to $10M,20135,CARGOFUL S.R.L.,Monza e della Brianza,20834.0,Lombardia,,,,,620100.0,08/10/2020,,Attiva,S.R.L.
Telemedical Services,Private,"Consulting, Health Care, Medical, Staffing Agency",1-10,"Monserrato, Sardegna, Italy","3,651,023",23.0,,,,,,,,,,,,,,,2020-07-28,Active,,9042,TELEMEDICAL SERVICES S.R.L.,Cagliari,9042.0,Sardegna,,,,,620100.0,28/07/2020,,Attiva,S.R.L.
e-dway,Private,"Automotive, Leasing, Recreation, Rental",1-10,"Florence, Toscana, Italy","670,861",31.0,,,,,,,,,,,,Nadia Mangiavacchi,1.0,,2020-06-01,Active,$1M to $10M,65R 50123,E-DWAY SRL,Firenze,50123.0,Toscana,BORGO OGNISSANTI 65/R-23,Firenze,50123.0,TOSCANA,620100.0,18/02/2020,,Attiva,S.R.L.
Stories,Private,,1-10,"Milan, Lombardia, Italy","2,689,106",,,,,,,,,,,,,,,,2019-10-01,Active,,20121,PADOVA STORIES S.R.L.,Padova,35139.0,Veneto,,,,,591100.0,10/06/2021,,Attiva,S.R.L.
Gamma Innovation,Private,"Consulting, Information Technology, Training",11-50,"Arsago, Lombardia, Italy","2,305,779",15.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,20057,AM INNOVATION S.R.L.,Cuneo,12038.0,Piemonte,,,,,620200.0,05/09/2019,,Attiva,S.R.L.
F3nice,Private,"Manufacturing, Sustainability",1-10,"Milano, Lombardia, Italy","136,914",,,,1.0,1.0,Techstars,120000.0,Pre-Seed,120000.0,120000.0,Seed,1.0,"Daniele Brambilla, Luisa Elena Mondora, Matteo Vanazzi",3.0,,2020-05-13,Active,,,F3NICE S.R.L.,Milano,20129.0,Lombardia,,,,,711210.0,13/05/2020,,Attiva,S.R.L.
ATS Innovation,Private,"Consulting, Health Care, Industrial, Technical Support",1-10,"Milan, Lombardia, Italy","815,583",12.0,,,,,,,,,,,,Roberto Signori,1.0,,2020-12-18,Active,,,ATS INNOVATION S.R.L.,Milano,20123.0,Lombardia,PIAZZA DELLA CONCILIAZIONE 2,Milano,20123.0,LOMBARDIA,332003.0,18/12/2020,,Attiva,S.R.L.
Poleepo,Private,Software,1-10,"Sora, Lazio, Italy","318,775",7.0,,,2.0,1.0,"Startup Wise Guys, Startup Wise Guys SaaS Milan",,Pre-Seed,,,Seed,2.0,,,,2022-01-01,Active,,103039,POLEEPO SRL,Frosinone,3029.0,Lazio,,,,,620100.0,26/04/2022,,Attiva,S.R.L.
Domini Agency,Private,"Advertising, Marketing, Social Media Management, Web Design",1-10,"Florence, Toscana, Italy","3,245,939",11.0,,,,,,,,,,,,,,,2019-01-01,Active,,50121,DOMINI AGENCY S.R.L,Firenze,50121.0,Toscana,VIA ARNOLFO 32,Firenze,50121.0,TOSCANA,620100.0,01/02/2021,,Attiva,S.R.L.
StdOut,Private,"Mobile Apps, Software, Web Development",1-10,"Palermo, Sicilia, Italy","3,549,833",10.0,,,,,,,,,,,,,,,2018-01-01,Active,,90143,STDOUT S.R.L.,Palermo,90143.0,Sicilia,,,,,620200.0,26/10/2018,,Attiva,S.R.L.
Ecomate,Private,"B2B, Enterprise Software, FinTech, Sustainability",1-10,"Milan, Lombardia, Italy","93,538",8.0,,,6.0,,"Invitalia Ventures, Marco Sarti, Simone De Battisti, Camilla Tomasetta, Adelio Bollini",1238446.0,Pre-Seed,214111.0,214111.0,Seed,6.0,"Adelio Bollini, Alan Gallicchio, Alessandro Colosi, Camilla Tomasetta, Emil von Abranyi, Marco Sarti, Maurizio Mesenzani, Silvia Paganoni, Simone De Battisti, Vincenzo D'Abramo",10.0,,2019-05-22,Active,Less than $1M,20124,ECOMATE S.R.L.,Milano,20122.0,Lombardia,,,,,620100.0,29/05/2019,,Attiva,S.R.L.
DigitalMaint,Private,"Cloud Computing, Information Technology, Property Management",1-10,"Bologna, Emilia-Romagna, Italy","2,328,416",8.0,,,,,,,,,,,,,,,2020-01-01,Active,,40132,DIGITALMAINT SRL,Bologna,40132.0,Emilia-Romagna,,,,,620200.0,08/05/2020,,Attiva,S.R.L.
SYMBOOLIC,Private,"Business Development, Consulting, Marketing",,"Modena, Emilia-Romagna, Italy","825,043",12.0,,,,,,,,,,,,,,,2022-01-26,Active,,41121,SYMBOOLIC S.R.L.,Modena,41121.0,Emilia-Romagna,,,,,620100.0,26/01/2022,,Attiva,S.R.L.
Headvisor,Private,"Advice, Business Development, Consulting",1-10,"Brescia, Lombardia, Italy","2,068,065",29.0,,,,,,,,,,,,,,,2019-01-01,Active,,25124,HEADVISOR S.R.L.,Brescia,25128.0,Lombardia,VIA UGO LA MALFA 34,Brescia,25124.0,LOMBARDIA,620100.0,04/12/2019,,Attiva,S.R.L.
Aldetech,Private,"Biotechnology, Manufacturing, Medical Device",1-10,"Dogliani, Piemonte, Italy","1,561,057",13.0,,,,,,,,,,,,Alma De Luca,1.0,,2021-01-01,Active,,12063,BLUETECH S.R.L.,Milano,20124.0,Lombardia,,,,,620100.0,14/11/2022,,Attiva,S.R.L.
Electe,Private,"Artificial Intelligence (AI), B2B, Digital Marketing, Information Technology, SaaS, Software, Web Development",1-10,"Milano, Lombardia, Italy","37,782",10.0,,,,,,110053.0,Pre-Seed,110053.0,110053.0,Seed,1.0,Fabio Lauria,1.0,,2023-01-23,Active,,20121,ELECTE S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,23/01/2023,,Attiva,S.R.L.
THESHHHOP,Private,"E-Commerce, Sales, Shopping",1-10,"Senigallia, Marche, Italy","1,558,960",9.0,,,,,,,,,,,,"David Cesarotti, Mirko Cardinaletti",2.0,,2020-01-01,Active,Less than $1M,60019,THESHHHOP S.R.L.,Ancona,60019.0,Marche,VIA NICOLA ABBAGNANO 17,Ancona,60019.0,MARCHE,479110.0,22/10/2020,,Attiva,S.R.L.
Biomet,Private,"Renewable Energy, Waste Management",11-50,"San Rocco, Lombardia, Italy","87,258",,Acquisition,78896210.0,1.0,1.0,Antonio Barani,15000000.0,Corporate Round,15000000.0,15000000.0,M&A,1.0,Antonio Barani,1.0,2022-06-20,2018-09-01,Active,,26865,BIOMET GAS S.R.L.,Milano,20123.0,Lombardia,VIA DEL GONFALONE 3,Milano,20123.0,LOMBARDIA,721909.0,10/02/2023,,Attiva,S.R.L.
scaleU,Private,"Business Development, Marketing, Marketing Automation",1-10,"Modena, Emilia-Romagna, Italy","875,661",12.0,,,,,,,,,,,,,,,2019-01-01,Active,,41123,SCALEU SRL,Modena,41123.0,Emilia-Romagna,,,,,620100.0,23/10/2019,,Attiva,S.R.L.
DialogSphere,Private,Generative AI,11-50,"Milan, Lombardia, Italy","282,597",,,,,,,,Pre-Seed,,,Seed,1.0,,,,2022-10-10,Active,,20124,DIALOGSPHERE S.R.L.,Cagliari,9127.0,Sardegna,,,,,620200.0,10/10/2022,,Attiva,S.R.L.
7 Solutions Srl,Private,,1-10,"Sesto Fiorentino, Toscana, Italy","671,070",5.0,,,,,,,,,,,,,,,2019-01-01,Active,,,A & M SOLUTIONS S.R.L.,Avellino,83035.0,Campania,,,,,620909.0,21/04/2017,,Attiva,S.R.L.
Start Factor,Private,"Finance, Insurance, Sustainability",1-10,"Milan, Lombardia, Italy","1,215,395",9.0,,,,,,,,,,,,Mattia Malvestiti,1.0,,2021-01-01,Active,,20121,START FACTOR S.R.L.,Milano,20123.0,Lombardia,VIA PIETRO PALEOCAPA 7,Milano,20121.0,LOMBARDIA,701000.0,21/10/2020,,Attiva,S.R.L.
Digital Mao,Private,"Consulting, Digital Marketing, E-Commerce, Marketplace",1-10,"Milan, Lombardia, Italy","1,304,136",12.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,20124,DIGITAL MAO S.R.L. IN LIQUIDAZIONE,Milano,20124.0,Lombardia,VIA MAURO MACCHI 50,Milano,20124.0,LOMBARDIA,631200.0,31/01/2020,,In liquidazione,S.R.L.
Adv Revolution,Private,"Business Development, Consulting, Digital Marketing, Marketing",1-10,"Marsala, Sicilia, Italy","1,647,898",,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,91025,BW REVOLUTION S.R.L.,Genova,16149.0,Liguria,VIA FIUMARA 7/28,Genova,16149.0,LIGURIA,620100.0,31/05/2021,,Attiva,S.R.L.
Agrobit,Private,"Agriculture, AgTech, Artificial Intelligence (AI), Computer Vision, SaaS, Software",1-10,"Florence, Toscana, Italy","66,780",8.0,,,2.0,1.0,"CRiF, Nanabianca",327492.0,Pre-Seed,116838.0,64683.0,Seed,5.0,"Andrea Cruciani, Niccolò Bartoloni, Simone Kartsiotis",3.0,,2022-02-14,Active,,50123,AGROBIT S.R.L.,Firenze,50123.0,Toscana,,,,,620100.0,14/02/2022,,Attiva,S.R.L.
Aureal,Private,"Fitness, Health Care, Wellness",11-50,"Nola, Campania, Italy","2,053,470",22.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,,AUREA S.R.L.,Avellino,83031.0,Campania,,,,,620100.0,12/02/2019,,Attiva,S.R.L.
Pole Innovative,Private,"Consulting, Information Technology",1-10,"Brescia, Lombardia, Italy","2,379,535",7.0,,,,,,,,,,,,,,,2019-01-01,Active,,25128,POLO INNOVATIVO S.R.L.,Brescia,25128.0,Lombardia,,,,,620100.0,25/05/2022,,Attiva,S.R.L.
Supernova,Private,Real Estate,11-50,"Milan, Lombardia, Italy","659,096",,,,,,,,,,,,,Paolo Signoretti,1.0,,2019-01-01,Active,,20124,SUPERNOVA S.R.L.,Milano,20122.0,Lombardia,,,,,620100.0,15/10/2020,,Attiva,S.R.L.
Cassandra,Private,"Advertising, Analytics, Artificial Intelligence (AI), Machine Learning, Marketing Automation, Predictive Analytics, SaaS, Software",1-10,"Milano, Lombardia, Italy","49,639",4.0,,,1.0,1.0,Exor Ventures,320304.0,Pre-Seed,320304.0,320304.0,Seed,1.0,,,,2022-12-01,Active,,20122,CASSANDRA S.R.L.,Milano,20122.0,Lombardia,,,,,620100.0,08/11/2022,,Attiva,S.R.L.
Beautycians,Private,"Beauty, Training, Wellness",,"Genoa, Liguria, Italy","1,716,774",13.0,,,,,,,,,,,,"Christine Davanzo, David Ancients, Piera Bertola",3.0,,2022-02-14,Active,,,BEAUTYCIANS S.P.A.,Genova,16121.0,Liguria,VIA FIESCHI 1/15,Genova,16121.0,LIGURIA,204200.0,14/02/2022,,Attiva,S.P.A.
Dema Solutions,Private,"Document Management, Document Preparation, Translation Service",11-50,"Monza, Lombardia, Italy","805,709",11.0,,,,,,,,,,,,Lorenzo Ganzerli,1.0,,2018-01-01,Active,$1M to $10M,20900,DEFENDA SOLUTIONS S.R.L.,Milano,20121.0,Lombardia,,,,,620100.0,20/06/2022,,Attiva,S.R.L.
Arwin & Partners,Private,"Consulting, Financial Services, Public Relations",11-50,"Milano, Lombardia, Italy","2,436,286",,,,,,,,,,,,,,,,2019-01-01,Active,$1M to $10M,20123,BRIAN AND PARTNERS SRL,Piacenza,29121.0,Emilia-Romagna,VIA CAMPO DELLA FIERA 4,Piacenza,29121.0,EMILIA-ROMAGNA,620100.0,10/04/2019,,Attiva,S.R.L.
ENTER,Private,"Charity, Events, Non Profit",51-100,"Vicenza, Veneto, Italy","2,654,953",9.0,,,,,,,,,,,,,,,2019-01-01,Active,,,ENTER S.R.L.,Torino,10014.0,Piemonte,VIA MICHELETTI 12,Torino,10014.0,PIEMONTE,702209.0,28/01/2021,,Attiva,S.R.L.
AvvocatoFlash,Private,"Information Technology, Legal, Software",11-50,"Cosenza, Calabria, Italy","766,641",3.0,,,,,,,,,,,,Cristian Izzo,1.0,,2019-06-27,Active,$1M to $10M,87100,AVVOCATOFLASH S.R.L.,Cosenza,87100.0,Calabria,VIA GIUSEPPE ISNARDI 7,Cosenza,87100.0,CALABRIA,620100.0,27/06/2019,,Attiva,S.R.L.
Vado,Private,"Apps, Grocery, Internet of Things, Retail, Retail Technology, Sales Automation",1-10,"Turin, Piemonte, Italy","68,848",8.0,,,9.0,3.0,"Startup Wise Guys, Banca Sella, Startup Wise Guys SaaS Milan, Angels 4 Impact, Sidinvest",1420989.0,Seed,438783.0,438783.0,Seed,8.0,"Alberto Luison, Alessandro Bruno, Alessandro Ursino",3.0,,2020-11-03,Active,,10139,VADO S.R.L.,Torino,10135.0,Piemonte,,,,,620100.0,03/11/2020,,Attiva,S.R.L.
Lux Reality,Private,"Augmented Reality, Software, Virtual Reality",1-10,"Naples, Campania, Italy","2,624,910",9.0,,,,,,,,,,,,,,,2021-01-01,Active,,80121,LUX REALITY S.R.L.,Napoli,80121.0,Campania,,,,,620100.0,19/11/2021,,Attiva,S.R.L.
Hubique,Private,"Artificial Intelligence (AI), Augmented Reality, Information Technology, Virtual Reality",1-10,"Milan, Lombardia, Italy","789,783",11.0,,,,,,,,,,,,Alessandro Gatti,1.0,,2022-01-01,Active,$1M to $10M,20139,HUBIQUE S.R.L.,Milano,20139.0,Lombardia,,,,,620909.0,30/09/2022,,Attiva,S.R.L.
Inventio.AI,Private,"Artificial Intelligence (AI), Information Technology, Software",1-10,"Fossano, Piemonte, Italy","93,274",30.0,,,4.0,1.0,"CDP Venture Capital, Club degli Investitori, Simon Fiduciaria, Motor Valley Accelerator",614077.0,Pre-Seed,614077.0,614077.0,Seed,1.0,,,,2021-01-01,Active,,12045,INVENTA AI HOLDING S.R.L.,Varese,21029.0,Lombardia,VIA UGUAGLIANZA 9,Varese,21029.0,LOMBARDIA,620100.0,05/02/2020,,Attiva,S.R.L.
Futur3,Private,"Delivery, E-Commerce, Fashion",1-10,"Milan, Lombardia, Italy","3,048,631",2.0,,,,,,,,,,,,,,,2018-01-01,Active,$10M to $50M,20063,FUTUR-E S.R.L.,Milano,20144.0,Lombardia,VIA TORTONA 18 BIS,Milano,20144.0,LOMBARDIA,619010.0,12/03/2021,,Attiva,S.R.L.
TUC.technology,Private,"Automotive, Electronics, Software",1-10,"Turin, Piemonte, Italy","98,093",7.0,,,,,,2085085.0,Seed,909171.0,909171.0,Seed,3.0,"Ludovico Campana, Sergio Pininfarina",2.0,,2018-05-08,Active,$1M to $10M,10138,ADVA TECHNOLOGY S.R.L.,Milano,20135.0,Lombardia,,,,,721909.0,25/02/2022,,Attiva,S.R.L.
ACM & Partners,Private,"Advice, Management Consulting, Training",11-50,"Treviso, Veneto, Italy","2,476,465",5.0,,,,,,,,,,,,,,,2018-01-01,Active,$1M to $10M,31100,ITALY & PARTNERS S.R.L.,Imperia,18039.0,Liguria,,,,,620100.0,11/06/2020,,Attiva,S.R.L.
ZeroDEX,Private,Web3,1-10,"Milan, Lombardia, Italy","2,468,293",,,,,,,,,,,,,Nicolò M. Joswig,1.0,,2024-01-01,Active,,,ZERODUE S.R.L.,Milano,20134.0,Lombardia,VIA CONTE ROSSO 36,Milano,20134.0,LOMBARDIA,620200.0,10/12/2020,,Attiva,S.R.L.
Teta,Private,"Information Technology, Mobile Apps, Software",11-50,"Roma, Lazio, Italy","263,116",4.0,,,5.0,1.0,"Exor Ventures, Charlie Songhurst, Accel Starters, Alberto Cresto, Luca Ascani",,Pre-Seed,,,Seed,1.0,"Andrea Buttarelli, Antonio Scirica, Charlotte Torres, Gianluca d’Ottavio",4.0,,2021-01-01,Active,,179,ETA S.R.L.,Milano,20129.0,Lombardia,,,,,620200.0,09/12/2020,,Attiva,S.R.L.
