crunchbase_Organization Name,crunchbase_IPO Status,crunchbase_Industries,crunchbase_Number of Employees,crunchbase_Headquarters Location,crunchbase_CB Rank (Company),crunchbase_Similar Companies,crunchbase_Acquisition Type,crunchbase_Price (in USD),crunchbase_Number of Investors,crunchbase_Number of Lead Investors,crunchbase_Top 5 Investors,crunchbase_Total Funding Amount (in USD),crunchbase_Last Equity Funding Type,crunchbase_Last Equity Funding Amount (in USD),crunchbase_Last Funding Amount (in USD),crunchbase_Funding Status,crunchbase_Number of Funding Rounds,crunchbase_Founders,crunchbase_Number of Founders,crunchbase_Exit Date,crunchbase_Founded Date,crunchbase_Operating Status,crunchbase_Estimated Revenue Range,crunchbase_Postal Code,anagrafica_Ragione sociale,anagrafica_Provincia,anagrafica_Indirizzo sede legale - Codice postale,anagrafica_Indirizzo sede legale - Regione,anagrafica_Sede operativa,anagrafica_Sede operativa - Provincia,anagrafica_Sede operativa - Codice postale,anagrafica_Sede operativa - Regione - Regione,"anagrafica_ATECO 2007
codice",anagrafica_Anno di costituzione,anagrafica_Fondazione,anagrafica_Stato giuridico,anagrafica_Forma giuridica
Manteia,Private,"Artificial Intelligence (AI), Consulting, IT Management",11-50,"Milan, Lombardia, Italy","1,328,810",21.0,,,,,,,,,,,,,,,2020-01-01,Active,$1M to $10M,20121,MANTEIA-MEMAR S.R.L.,Milano,20121.0,Lombardia,VIA FRATELLI GABBA 5,Milano,20121.0,LOMBARDIA,702209.0,07/11/2019,,Attiva,S.R.L.
Spiagge,Private,"Online Portals, Tour Operator, Tourism",11-50,"Rimini, Emilia-Romagna, Italy","62,712",10.0,,,2.0,2.0,"CDP Venture Capital, Growth Engine",1502584.0,Seed,1502584.0,,Seed,2.0,"Andrea Menghi, Niccolò Para",2.0,,2020-01-01,Active,$1B to $10B,47921,SPIAGGE SRL,Rimini,47923.0,Emilia-Romagna,VIALE XXIII SETTEMBRE 1845,Rimini,47921.0,EMILIA-ROMAGNA,620200.0,03/12/2020,,Attiva,S.R.L.
Bfine,Private,"Advertising, Consulting, Marketing",,"Milan, Lombardia, Italy","2,952,917",3.0,,,,,,,,,,,,Alessandro Coltro,1.0,,2021-01-01,Active,,,FINE SRL,Milano,20122.0,Lombardia,,,,,620100.0,20/06/2022,,Attiva,S.R.L.
Digix,Private,"Business Development, Consulting, Information Technology, Innovation Management",11-50,"Milan, Lombardia, Italy","686,031",10.0,,,,,,,,,,,,,,,2019-09-02,Active,$1M to $10M,20123,DIGIX PLUS S.R.L.,Milano,20123.0,Lombardia,PIAZZA PIO XI 1,Milano,20123.0,LOMBARDIA,620100.0,01/08/2019,,Attiva,S.R.L.
Meeters,Private,"Internet, Social Network, Travel",11-50,"Verona, Veneto, Italy","298,431",9.0,,,1.0,,Alessandro Chiaffredo,,Seed,,,Seed,2.0,"Claudio Perlini, Davide Zanon",2.0,,2019-04-30,Active,,37135,MEETERS S.R.L.,Milano,20143.0,Lombardia,RIPA DI PORTA TICINESE 39,Milano,20143.0,LOMBARDIA,791200.0,30/04/2019,,Attiva,S.R.L.
UniFintech,Private,"Advice, Consulting, Information Technology, Software",1-10,"Udine, Friuli-Venezia Giulia, Italy","3,311,154",11.0,,,,,,,,,,,,Francesco Paduano,1.0,,2020-01-01,Active,Less than $1M,33100,NETFINTECH S.R.L.,Milano,20124.0,Lombardia,VIA TRASIMENO 10,Arezzo,52100.0,TOSCANA,661922.0,14/02/2019,,Attiva,S.R.L.
KeyPartners,Private,"Human Resources, Recruiting, Training",11-50,"Milan, Lombardia, Italy","2,569,002",8.0,,,,,,,,,,,,,,,2021-01-01,Active,,20121,KEYPARTNERS ITALY SRL,Milano,20121.0,Lombardia,PIAZZALE BIANCAMANO 8,Milano,20121.0,LOMBARDIA,781000.0,23/11/2021,,Attiva,S.R.L.
AITEM Solutions,Private,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software Engineering",1-10,"Turin, Piemonte, Italy","264,160",11.0,,,,,,,,,,,,,,,2020-01-01,Active,Less than $1M,10138,METALSISTEM SOLUTIONS S.R.L.,Novara,28100.0,Piemonte,PIAZZA MARTIN LUTHER KING 10,Novara,28100.0,PIEMONTE,432909.0,29/03/2021,,Attiva,S.R.L.
Mia Care,Private,"Health Care, Training",11-50,"Milano, Lombardia, Italy","313,174",10.0,,,,,,,,,,,,,,,2020-01-01,Active,,20159,MIA CARE S.R.L.,Milano,20123.0,Lombardia,VIA GIACOMO LEOPARDI 8,Milano,20123.0,LOMBARDIA,620100.0,10/12/2020,,Attiva,S.R.L.
Sp-Cybertec,Private,"Cyber Security, Security, Technical Support",11-50,"Rome, Lazio, Italy","652,522",11.0,,,,,,,,,,,,Paolo Simei,1.0,,2019-01-01,Active,$1M to $10M,142,SP-CYBERTEC SRL,Roma,144.0,Lazio,VIA MARIO BIANCHINI 60,Roma,142.0,LAZIO,620100.0,02/05/2019,,Attiva,S.R.L.
